business_name,website,email,phone,whatsapp,country_code,city,niche,platform,instagram_handle,facebook_url,score,status,priority,enrichment_status,first_source,created_at,last_enrichment_attempt_at,notes
NIKE,https://clk.omgt7.com/?PID=56934&AID=2300358,info@clk.omgt7.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:31",,
adidas,https://www.adidas.ae/en,info@adidas.ae,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:31",,
Honor,https://www.honor.com/ae-en/shop/offer/?utm_source=google&utm_medium=cpc&utm_campaign=brand_alw_uae_ec_conv_pur_rmkt_search_b___ms&gad_source=1&gclid=CjwKCAiAt4C-BhBcEiwA8Kp0CbwyFaSQA4VBUvUP4mYxhAWCWaf0L7nWt5nyUEig6W8k2JYfDCErnBoCxS4QAvD_BwE,info@honor.com,,971529711279,AE,,onlineStore,,honorarabia,https://facebook.com/HONORArabia,75,new,warm,completed,tabby,"2026-06-20 23:16:31",,
"Make My Trip",https://ae.makemytrip.global/,info@ae.makemytrip.global,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:31",,
Flydubai,https://www.flydubai.com/,info@flydubai.com,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:31",,
"e& (Etisalat)",https://www.etisalat.ae/en,info@etisalat.ae,+971-800-101,,AE,,"onlineStore, inStore",magento,etisalat,https://facebook.com/Etisalat,85,new,warm,completed,tabby,"2026-06-20 23:16:31",,
"Ari Luxe Jewelry",https://ariluxejewelry.com/,info@ariluxejewelry.com,"+971 50 227 3895",971502273895,AE,,"onlineStore, inStore",woocommerce,,https://facebook.com/ariluxejewelryfzc4,85,new,warm,completed,tabby,"2026-06-20 23:16:31",,
"NEXT MOBILE ®",https://nextmobile.ae/,info@nextmobile.ae,"+971 565656471",,AE,,"onlineStore, inStore",woocommerce,next_mobile__ajman_,https://facebook.com/profile.php,85,new,warm,completed,tabby,"2026-06-20 23:16:31",,
MAX,https://www.maxfashion.com/ae/en/,info@maxfashion.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:31",,
almatar,https://almatar.com/en/,info@almatar.com,+00920005511,966920005511,AE,,onlineStore,,almatarapp,https://facebook.com/almatarapp,75,new,warm,completed,tabby,"2026-06-20 23:16:31",,
Centrepoint,https://www.centrepointstores.com/ae/en/department/cross,info@centrepointstores.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:31",,
Emax,https://uae.emaxme.com/,info@uae.emaxme.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:31",,
"Sun & Sand Sports",https://en-ae.sssports.com/,info@en-ae.sssports.com,+97143149000,,AE,,"onlineStore, inStore",,sssports,https://facebook.com/SunSandSports,75,new,warm,completed,tabby,"2026-06-20 23:16:31",,
"Gold Zone",https://goldzonejewelry.com/,info@goldzonejewelry.com,+971568527653,,AE,,"onlineStore, inStore",shopify,goldzonegzuae,,85,new,warm,completed,tabby,"2026-06-20 23:16:31",,
SPIRRIT,http://www.spirrit.com,info@spirrit.com,,,AE,,"onlineStore, inStore",shopify,spirrituae,https://facebook.com/spirrituae,80,new,warm,completed,tabby,"2026-06-20 23:16:31",,
"Apple Official",https://www.apple.com/ae/,info@apple.com,80004440396,,AE,,"onlineStore, inStore",,,https://facebook.com/Apple,75,new,warm,completed,tabby,"2026-06-20 23:16:31",,
"Noon Minutes",https://minutes.noon.com/uae-en/,info@minutes.noon.com,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:31",,
VIVO,https://vivobuy.com/,info@vivobuy.com,,,AE,,onlineStore,,vivo_arabia,https://facebook.com/vivoGlobal,70,new,warm,completed,tabby,"2026-06-20 23:16:32",,
"Damas Jewellery",https://www.damasjewellery.com/ae-en/,info@damasjewellery.com,+97180032627,,AE,,"onlineStore, inStore",magento,damasjewellery,https://facebook.com/DamasJewellery,85,new,warm,completed,tabby,"2026-06-20 23:16:32",,
NexEssentials,https://nexessentials.ae/,info@nexessentials.ae,971568434523,,AE,,"onlineStore, inStore",woocommerce,nexessentials.ae,https://facebook.com/share/1BRCCSY2bt,85,new,warm,completed,tabby,"2026-06-20 23:16:32",,
"Fly Fairly",https://flyfairly.sjv.io/EE6LZn,info@flyfairly.sjv.io,,,AE,,onlineStore,,fly.fairly,https://facebook.com/flyfairlytravel,70,new,warm,completed,tabby,"2026-06-20 23:16:32",,
"Life Pharmacy",https://www.lifepharmacy.com/,info@lifepharmacy.com,+971043441122,,AE,,onlineStore,,lifepharmacyme,https://facebook.com/lifepharmacyme,75,new,warm,completed,tabby,"2026-06-20 23:16:32",,
"Kalyan Jewellers",https://www.kalyanjewellers.net/ae,info@kalyanjewellers.net,18004257333,971585672643,AE,,"onlineStore, inStore",,kalyanjewellers_official,https://facebook.com/KalyanJewellersIndia,75,new,warm,completed,tabby,"2026-06-20 23:16:32",,
HOMEBOX,https://www.homeboxstores.com/ae/en,info@homeboxstores.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:32",,
"Embellish Jewelry",https://embellishgold.com/?utm_source=tabby+&utm_medium=affiliate+,info@embellishgold.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:32",,
PUMA,https://go.urtrackinglink.com/aff_c?offer_id=1563&aff_id=26236,info@go.urtrackinglink.com,+91-6364929121,,AE,,"onlineStore, inStore",,puma,https://facebook.com/PUMA,75,new,warm,completed,tabby,"2026-06-20 23:16:32",,
"Lulia Jewelry",https://luliajewelry.com,info@luliajewelry.com,+971522125653,,AE,,"onlineStore, inStore",shopify,luliajewelry,https://facebook.com/jewelrylulia,85,new,warm,completed,tabby,"2026-06-20 23:16:32",,
Bloomingdale's,https://altayer.prf.hn/click/camref:1100l3CTj4,info@altayer.prf.hn,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:32",,
"Arabian Oud",https://ae.arabianoud.com/en,info@ae.arabianoud.com,+966920009692,966920009692,AE,,onlineStore,,,,70,new,warm,completed,tabby,"2026-06-20 23:16:32",,
"Apple touch mobile phones",https://maps.app.goo.gl/DMD18GrYUh1eLcHB7?g_st=com.google.maps.preview.copy,info@maps.app.goo.gl,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:32",,
Faces,https://www.faces.ae/en,info@faces.ae,++971800965664,971563299902,AE,,"onlineStore, inStore",,facesbeautymiddleeast,https://facebook.com/FacesBeautyMiddleEast,75,new,warm,completed,tabby,"2026-06-20 23:16:32",,
Cleartrip,https://www.cleartrip.com/,info@cleartrip.com,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:32",,
Lacoste,https://www.lacoste.ae/,info@lacoste.ae,+971545821751,971545821751,AE,,"onlineStore, inStore",,,,70,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"FSA TRADING",https://fsatrading.com/,info@fsatrading.com,+971559957078,,AE,,"onlineStore, inStore",woocommerce,fsatrading,,85,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"iPoint Electronics",https://ipoint.ae,info@ipoint.ae,+971547467083,971547467083,AE,,"onlineStore, inStore",shopify,ipoint.ae,https://facebook.com/ipointae,85,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"Brands for Less",https://www.brandsforless.com/en-ae/,info@brandsforless.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:33",,
MenaKart,https://www.menakart.com/,info@menakart.com,+971585100788,,AE,,"onlineStore, inStore",magento,menakart,,85,new,warm,completed,tabby,"2026-06-20 23:16:33",,
Casio,https://casio-mea.com/,info@casio-mea.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"Dkhoon Emirates",https://dkhoonemirates.com/,info@dkhoonemirates.com,966920002360,966595935712,AE,,"onlineStore, inStore",,dkhoni__official,https://facebook.com/dkhoni_official,75,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"Elsayed Elmougi mobile phone",https://elmogystore.com/en,info@elmogystore.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"Golden Scent",https://ae.goldenscent.com/en/,info@ae.goldenscent.com,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:33",,
971Nerds,https://971nerds.com/,info@971nerds.com,,,AE,,"onlineStore, inStore",woocommerce,damanphone,https://facebook.com/damanphone,80,new,warm,completed,tabby,"2026-06-20 23:16:33",,
Solagold,http://www.solagold.com,info@solagold.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"Avera Perfumes",https://avera.ae,info@avera.ae,"+971 54 739 1545",,AE,,"onlineStore, inStore",woocommerce,avera.perfume,https://facebook.com/avera.perfumes,85,new,warm,completed,tabby,"2026-06-20 23:16:33",,
L'azurde,https://www.lazurde.com/en-ae,info@lazurde.com,+97180064775,,AE,,onlineStore,bigcommerce,lazurde,https://facebook.com/lazurde,85,new,warm,completed,tabby,"2026-06-20 23:16:33",,
6thStreet,https://en-ae.6thstreet.com/,info@en-ae.6thstreet.com,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"KABAYAN DEALS",https://kabayandeals.com/,info@kabayandeals.com,"+971 56 438 2017",971564382017,AE,,"onlineStore, inStore",shopify,,,80,new,warm,completed,tabby,"2026-06-20 23:16:33",,
HOMECENTRE,https://www.homecentre.com/ae/en/,info@homecentre.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"Digital Mart",https://digitalmart.ae,info@digitalmart.ae,0508474558,,AE,,"onlineStore, inStore",woocommerce,,,80,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"Al Romaizan Gold & Jewellery",https://alromaizan.com/,info@alromaizan.com,+971564099029,971564099029,AE,,"onlineStore, inStore",,,,70,new,warm,completed,tabby,"2026-06-20 23:16:33",,
phonebay,https://phonebay.ae,info@phonebay.ae,+971-567-086-236,971507288276,AE,,"onlineStore, inStore",shopify,phonebay_uae,,85,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"Tickets To Do",https://www.ticketstodo.com/,info@ticketstodo.com,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"Aster Pharmacy",https://www.asterpharmacy.ae/,info@asterpharmacy.ae,800700600,971800700600,AE,,"onlineStore, inStore",,aster_pharmacy,https://facebook.com/AsterPharmacy,75,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"Mustaqbal Zamzam",https://mustaqbalzamzam.com/,info@mustaqbalzamzam.com,+971-52-318-9175,,AE,,"onlineStore, inStore",,mustaqbalzamzam,https://facebook.com/mustaqbalzamzam,75,new,warm,completed,tabby,"2026-06-20 23:16:33",,
iHerb,https://ae.iherb.com/,info@ae.iherb.com,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"Asia Mobile Phone",https://www.apmpllc.com/en,info@apmpllc.com,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:33",,
WINGIE,https://www.wingie.ae/en/,info@wingie.ae,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:33",,
"Emirates Driving Institute",https://edi-uae.com/,info@edi-uae.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:34",,
LAPTOPMART,https://www.laptopmart.ae/,info@laptopmart.ae,"+971 52 664 2304",,AE,,"onlineStore, inStore",shopify,laptopmartae,https://facebook.com/laptopmartae,85,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"Ibrahim Alqurashi",https://uae.ibrahimalqurashi.com/en,info@uae.ibrahimalqurashi.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:34",,
Styli,https://stylishop.com/ae/en,info@stylishop.com,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:34",,
Orvana,https://orvana.ae,info@orvana.ae,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:34",,
Reevamp,https://reevamp.me/,info@reevamp.me,"+1 832 356 4919",,AE,,onlineStore,woocommerce,reevamp.me,https://facebook.com/reevamp.mena,85,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"Majesty Phones",https://majestyphones.com/,info@majestyphones.com,+971525252040,971525252040,AE,,"onlineStore, inStore",woocommerce,majesty_phones,,85,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"Golden Line Sport",https://goldenlinesports.ae/,info@goldenlinesports.ae,,,AE,,"onlineStore, inStore",woocommerce,,,75,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"Bath & Body Works",https://go.arabclicks.com/aff_c?offer_id=460&aff_id=154652,info@go.arabclicks.com,,,AE,,"onlineStore, inStore",,,,65,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"Dubai Now",https://dubainow.dubai.ae/,info@dubainow.dubai.ae,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"Akbar Travels",https://www.akbartravels.com/,info@akbartravels.com,,,AE,,"onlineStore, inStore",,akbartravels,https://facebook.com/akbartravels,70,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"NAJMAT AL SEYOUH Mobile Phone & Computer TR",https://alseyouh.ae/,info@alseyouh.ae,065563446,971588122780,AE,,"onlineStore, inStore",woocommerce,najmat_alseyouh,https://facebook.com/najmat.alseyouh,85,new,warm,completed,tabby,"2026-06-20 23:16:34",,
CROCS,https://en-ae.crocsgulf.com/,info@en-ae.crocsgulf.com,+97180027627,,AE,,"onlineStore, inStore",magento,crocs_middleeast,,85,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"Lumière Fashion",https://lumierebytinderellaz.com/,info@lumierebytinderellaz.com,,,AE,,"onlineStore, inStore",shopify,lumierebytinderellaz,https://facebook.com/lumierebytinderellaz,80,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"Base 53",https://base53.ae/,info@base53.ae,+971562241015,971562241015,AE,,"onlineStore, inStore",woocommerce,,https://facebook.com/Base53Online,85,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"Dubai Pay",https://www.digitaldubai.ae/apps-services/details/dubaipay,info@digitaldubai.ae,,,AE,,onlineStore,,digitaldubai,,70,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"Fitness Time",https://www.fitnesstime.com.sa/en-us,info@fitnesstime.com.sa,920003131,966920003131,AE,,"onlineStore, inStore",,fitnesstimesa,https://facebook.com/FitnessTimeSA,75,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"Nice One",https://niceonesa.com/en,info@niceonesa.com,00966920033385,,AE,,onlineStore,,niceonesa,https://facebook.com/pg/niceonesa/about,75,new,warm,completed,tabby,"2026-06-20 23:16:34",,
Qonooz,https://qonooz.com,info@qonooz.com,,,AE,,onlineStore,,,,65,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"ALL STARS",https://allstars.ae/en,info@allstars.ae,+31536000,,AE,,"onlineStore, inStore",woocommerce,,,80,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"Mobile catalyst",https://www.mobilecatalyst.store/,info@mobilecatalyst.store,"+971 52 324 2226",,AE,,"onlineStore, inStore",shopify,mobilecatalyststore,https://facebook.com/sharer/sharer.php,85,new,warm,completed,tabby,"2026-06-20 23:16:34",,
"Ajmal Perfumes",https://en-ae.ajmal.com/,info@en-ae.ajmal.com,80025625,,AE,,"onlineStore, inStore",magento,ajmalperfumes,https://facebook.com/ajmalperfumes,85,new,warm,completed,tabby,"2026-06-20 23:16:34",,
